player_email,verb,created_at,yammer_group_name,yammer_tags,yammer_thread_id,yammer_replied_to_id,yammer_mentioned_count,yammer_praised_count,unit_ce,unit_id,unit_tr,unit_ir,unit_deposits,unit_bonds,unit_funds,unit_stocks
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,visit-rc-collaboration,2015-11-24T08:05:31Z,,,,,,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,post,2015-11-19T15:40:29Z,,,,,,,,,,,,,,
lucas@citidemo.badgeville.com,receive_reply,2013-03-27T12:09:08Z,"""Region: Europe""",mmf,,,,,,,,,,,,
obi@citidemo.badgeville.com,receive_praise,2014-06-23T09:56:36Z,"""Region: Middle East""",mma,,,,,,,,,,,,
obi@citidemo.badgeville.com,create_poll,2013-01-25T02:18:47Z,"""Region: North America""",mma,,,,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,mention_user,2012-09-25T07:33:54Z,Wealth Management,cd,,,,,,,,,,,,
roselyn@citidemo.badgeville.com,reply,2012-10-16T06:55:46Z,"""Region: Middle East""",mutualfund,,,,,,,,,,,,
julianne@citidemo.badgeville.com,reply,2012-08-01T11:06:05Z,G: Hedge Funds,bond,,,,,,,,,,,,
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,attach_file,2014-08-19T09:59:03Z,"""Region: Middle East""",mmf,,,,,,,,,,,,
jack@citidemo.badgeville.com,create_poll,2013-08-12T07:44:23Z,Wealth Management,integrity,,,,,,,,,,,,
lucas@citidemo.badgeville.com,create_poll,2014-08-24T11:51:55Z,My Team,inclusion,,,,,,,,,,,,
jack@citidemo.badgeville.com,praise_user,2014-10-12T09:41:39Z,Global,etf,,,,,,,,,,,,
lucas@citidemo.badgeville.com,receive_mention,2013-11-08T20:29:29Z,Internal Testing,mma,,,,,,,,,,,,
obi@citidemo.badgeville.com,receive_praise,2014-07-07T21:56:29Z,"""Region: Southeast Asia""",collab,,,,,,,,,,,,
jessica@citidemo.badgeville.com,reply,2013-08-26T02:43:20Z,Wealth Management,inclusion,,,,,,,,,,,,
lucas@citidemo.badgeville.com,receive_reply,2013-10-02T18:55:01Z,"""Region: Europe""",mma,,,,,,,,,,,,
roselyn@citidemo.badgeville.com,mention_user,2012-10-09T02:02:41Z,"""Region: Southeast Asia""",collab,,,,,,,,,,,,
jack@citidemo.badgeville.com,attach_file,2013-05-23T07:44:42Z,Culture Council,equity,,,,,,,,,,,,
lucas@citidemo.badgeville.com,create_poll,2012-11-10T10:10:58Z,Internal Testing,cd,,,,,,,,,,,,
lucas@citidemo.badgeville.com,reply,2014-05-05T18:08:28Z,Internal Testing,collab,,,,,,,,,,,,
jessica@citidemo.badgeville.com,mention_user,2014-07-09T05:09:56Z,Culture Council,mma,,,,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,receive_mention,2014-04-20T22:28:14Z,Internal Testing,mma,,,,,,,,,,,,
