player_email,verb,created_at,page,lead_id,opportunity_id,account_id,creation_date,income_level,marital_status,dependents,is_primary,first_contact_date,last_contact_date,bank,product,unit_revenue,value
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,create-lead,2015-11-17T04:23:10Z,,,,,,,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,add-first-name,2015-11-17T10:03:29Z,,,,,,,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,add-last-name,2015-11-17T10:03:29Z,,,,,,,,,,,,,,,
lucas@citidemo.badgeville.com,add-last-contact-date,2014-08-18T11:29:17Z,,,,,,,,,,,,,,,
lucas@citidemo.badgeville.com,add-5-10-goals,2014-04-28T09:44:57Z,,,,,,,,,,,,,,,
roselyn@citidemo.badgeville.com,visit-account,2013-03-17T13:16:36Z,home,,,,,,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,add-last-contact-date,2012-10-09T05:09:28Z,,,,,,,,,,,,,,,
jack@citidemo.badgeville.com,add-target-product-value,2013-11-23T20:33:33Z,,,,,,,,,,,,,Private Equity,,
jack@citidemo.badgeville.com,add-current-asset-value,2012-07-27T19:14:22Z,,,,,,,,,,,,Chase,Bond,,
roselyn@citidemo.badgeville.com,add-target-product-value,2013-11-01T16:47:07Z,,,,,,,,,,,,,Mutual Fund,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,add-current-asset-value,2012-11-19T12:02:27Z,,,,,,,,,,,,Chase,Money Market Account,,
jessica@citidemo.badgeville.com,visit-account,2012-11-14T22:07:41Z,account,,,,,,,,,,,,,,
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,add-dependents,2012-01-16T01:20:33Z,,,,,,,,"""1""",,,,,,,
jessica@citidemo.badgeville.com,create-opportunity,2012-09-02T03:06:19Z,,,,,,,,,,,,,,,
obi@citidemo.badgeville.com,visit-lead,2013-11-28T09:17:32Z,home,,,,,,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,visit-rc-goals,2013-11-15T19:36:36Z,,,,,,,,,,,,,,,
obi@citidemo.badgeville.com,visit-account,2014-01-12T07:13:12Z,account,,,,,,,,,,,,,,
lucas@citidemo.badgeville.com,close-win,2013-02-26T12:42:32Z,,,,,,,,,,,,,,#REF!,
lucas@citidemo.badgeville.com,visit-opportunity,2013-03-20T05:47:24Z,lead,,,,,,,,,,,,,,
roselyn@citidemo.badgeville.com,create-lead,2014-04-18T21:42:10Z,,,,,,,,,,,,,,,
jack@citidemo.badgeville.com,add-income,2013-06-22T19:47:22Z,,,,,,"""$80k - $100k""",,,,,,,,,
roselyn@citidemo.badgeville.com,add-occupation,2012-09-02T11:41:54Z,,,,,,,,,,,,,,,
lucas@citidemo.badgeville.com,add-occupation,2012-01-19T04:42:31Z,,,,,,,,,,,,,,,
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,visit-rc-goals,2013-11-14T02:43:24Z,,,,,,,,,,,,,,,
lucas@citidemo.badgeville.com,close-win,2012-03-26T06:12:51Z,,,,,,,,,,,,,,#REF!,
jessica@citidemo.badgeville.com,add-personal-note,2014-11-21T10:43:28Z,,,,,,,,,,,,,,,
roselyn@citidemo.badgeville.com,close-win,2012-09-05T04:39:29Z,,,,,,,,,,,,,,#REF!,
roselyn@citidemo.badgeville.com,create-lead,2013-11-14T16:36:36Z,,,,,,,,,,,,,,,
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,add-current-asset,2012-01-01T16:11:47Z,,,,,,,,,,,,Chase,Hedge Fund,,
roselyn@citidemo.badgeville.com,add-marital-status,2014-06-12T01:59:41Z,,,,,,,married,,,,,,,,
lucas@citidemo.badgeville.com,visit-account,2013-07-08T12:50:07Z,lead,,,,,,,,,,,,,,
jessica@citidemo.badgeville.com,add-first-contact-date,2013-01-11T09:05:47Z,,,,,,,,,,,,,,,
jack@citidemo.badgeville.com,add-current-asset,2012-06-26T19:17:53Z,,,,,,,,,,,,HSBC,Mutual Fund,,
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,add-last-contact-date,2012-12-12T20:42:16Z,,,,,,,,,,,,,,,
jessica@citidemo.badgeville.com,add-first-name,2012-07-16T16:13:33Z,,,,,,,,,,,,,,,
julianne@citidemo.badgeville.com,add-last-contact-date,2014-12-01T04:58:57Z,,,,,,,,,,,,,,,
obi@citidemo.badgeville.com,close-lost,2014-12-17T12:38:01Z,,,,,,,,,,,,,,,
jessica@citidemo.badgeville.com,add-current-asset-value,2014-08-01T05:20:50Z,,,,,,,,,,,,Chase,Mutual Fund,,
lucas@citidemo.badgeville.com,create-opportunity,2014-10-10T02:38:40Z,,,,,,,,,,,,,,,
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,create-lead,2012-05-15T21:08:47Z,,,,,,,,,,,,,,,
julianne@citidemo.badgeville.com,add-target-product-value,2014-01-20T17:37:51Z,,,,,,,,,,,,,Certificate of Deposit,,
obi@citidemo.badgeville.com,visit-citinet-goals,2012-08-14T03:55:09Z,opportunity,,,,,,,,,,,,,,
julianne@citidemo.badgeville.com,add-target-product,2014-09-05T22:51:38Z,,,,,,,,,,,,,Hedge Fund,,
roselyn@citidemo.badgeville.com,visit-opportunity,2014-01-10T04:13:02Z,opportunity,,,,,,,,,,,,,,
lucas@citidemo.badgeville.com,add-1-5-goals,2014-05-16T04:14:15Z,,,,,,,,,,,,,,,
roselyn@citidemo.badgeville.com,add-first-contact-date,2012-02-28T05:37:28Z,,,,,,,,,,,,,,,
jack@citidemo.badgeville.com,close-lost,2012-11-06T07:59:49Z,,,,,,,,,,,,,,,
roselyn@citidemo.badgeville.com,close-lost,2014-07-24T17:57:57Z,,,,,,,,,,,,,,,
julianne@citidemo.badgeville.com,add-target-product-value,2012-01-05T16:52:51Z,,,,,,,,,,,,,Bond,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,add-dependents,2014-01-03T20:21:40Z,,,,,,,,"""4""",,,,,,,
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,close-lost,2013-04-24T01:39:48Z,,,,,,,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,add-1-5-goals,2012-12-20T19:38:14Z,,,,,,,,,,,,,,,
lucas@citidemo.badgeville.com,visit-lead,2014-09-17T03:54:29Z,account,,,,,,,,,,,,,,
