player_email,verb,created_at,content_type,content_title,liked,rating,duration_video,score_current,score_original,current_likes,duration_expected,score_target,duration_user
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,visit-citinet-learning,2015-11-16T23:22:35Z,,,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,visit-plan,2015-11-28T08:15:02Z,,,,,,,,,,,
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,quiz-finish,2012-11-18T21:37:17Z,quiz,Understanding Referrals,,,,,,,,,
obi@citidemo.badgeville.com,video-rate,2014-07-26T05:11:48Z,video,Relationship Management Best Practices,,5,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,video-start,2014-04-26T10:12:33Z,video,Using Sharepoint,,,,,,,,,
obi@citidemo.badgeville.com,quiz-beat-previous,2012-12-26T12:24:51Z,video,Using Badgeville,,,,,,,,,
obi@citidemo.badgeville.com,article-read,2013-03-13T12:37:45Z,article,Using Sharepoint,,,,,,,,,
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,video-like,2013-08-24T17:58:21Z,quiz,Understanding the Reputation Center,0,,,,,,,,
roselyn@citidemo.badgeville.com,video-start,2012-02-10T03:02:31Z,quiz,Introduction to Salesforce,,,,,,,,,
lucas@citidemo.badgeville.com,video-start,2013-02-26T12:15:17Z,article,Understanding Referrals,,,,,,,,,
lucas@citidemo.badgeville.com,video-pass-duration,2012-07-09T11:16:33Z,video,Financial Products,,,,,,,,,
roselyn@citidemo.badgeville.com,quiz-rate,2014-05-20T19:23:07Z,video,Using Sharepoint,,4,,,,,,,
jack@citidemo.badgeville.com,video-rate,2013-10-23T12:40:33Z,video,Using Yammer,,5,,,,,,,
lucas@citidemo.badgeville.com,quiz-restart,2012-11-01T17:19:41Z,quiz,Using Salesforce,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,video-pass-duration,2014-08-10T14:39:55Z,article,Introduction to Salesforce,,,,,,,,,
jack@citidemo.badgeville.com,article-like,2014-12-07T18:19:15Z,quiz,Using Sharepoint,1,,,,,,,,
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,visit-citinet-learning,2012-02-01T20:58:38Z,,,,,,,,,,,
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,video-like,2012-03-11T09:18:48Z,article,Using Salesforce,1,,,,,,,,
julianne@citidemo.badgeville.com,video-start,2012-01-07T20:44:30Z,video,Sales Process,,,,,,,,,
obi@citidemo.badgeville.com,article-rate,2012-11-28T21:33:47Z,video,Using Salesforce,,4,,,,,,,
jessica@citidemo.badgeville.com,quiz-restart,2013-01-02T12:18:18Z,video,Using Sharepoint,,,,,,,,,
jack@citidemo.badgeville.com,video-rate,2014-02-06T18:17:26Z,quiz,Understanding the Reputation Center,,2,,,,,,,
jack@citidemo.badgeville.com,article-like,2014-07-09T17:33:17Z,video,Understanding Referrals,1,,,,,,,,
julianne@citidemo.badgeville.com,video-like,2012-01-27T08:36:21Z,video,Understanding Referrals,1,,,,,,,,
obi@citidemo.badgeville.com,video-rate,2014-08-27T10:40:34Z,article,Financial Products,,1,,,,,,,
jack@citidemo.badgeville.com,video-pass-duration,2013-12-05T08:42:07Z,video,Using Badgeville,,,,,,,,,
jack@citidemo.badgeville.com,video-pass-duration,2013-03-07T04:28:39Z,article,What is Gamification,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,quiz-finish,2012-11-15T19:07:46Z,video,Using Yammer,,,,,,,,,
jack@citidemo.badgeville.com,video-end,2014-03-27T14:52:35Z,video,Understanding the Reputation Center,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,article-read,2014-10-21T04:46:15Z,quiz,Using Yammer,,,,,,,,,
roselyn@citidemo.badgeville.com,quiz-update,2013-01-12T21:42:41Z,video,What is Gamification,,,,,,,,,
jack@citidemo.badgeville.com,visit-citinet-learning,2013-11-12T04:30:25Z,,,,,,,,,,,
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,video-end,2012-09-23T07:25:32Z,quiz,Introduction to Salesforce,,,,,,,,,
jack@citidemo.badgeville.com,article-read,2012-09-23T14:53:51Z,quiz,Program Guidebook,,,,,,,,,
jessica@citidemo.badgeville.com,quiz-restart,2014-09-04T04:04:29Z,quiz,What is Gamification,,,,,,,,,
julianne@citidemo.badgeville.com,article-like,2013-02-15T18:22:18Z,article,Program Guidebook,0,,,,,,,,
