player_email,verb,created_at
d54a96862e868922d073d973b7b78d4406b26a7d@citidemo.badgeville.com,visit-citinet-onboarding,2015-11-16T09:40:15Z
obi@citidemo.badgeville.com,visit-landing,2014-08-12T22:45:13Z
obi@citidemo.badgeville.com,visit-rc-onboarding,2014-01-13T13:06:52Z
julianne@citidemo.badgeville.com,visit-citinet-home,2012-09-20T16:43:54Z
roselyn@citidemo.badgeville.com,visit-landing,2013-12-27T13:04:21Z
roselyn@citidemo.badgeville.com,visit-rc-guide,2012-04-27T04:05:30Z
roselyn@citidemo.badgeville.com,visit-landing,2012-03-14T04:52:55Z
jessica@citidemo.badgeville.com,visit-landing,2013-09-15T13:58:49Z
ee75ee4ae10605121399fc322c05dfdfa2b42827@citidemo.badgeville.com,visit-rc-guide,2014-11-13T08:34:41Z
obi@citidemo.badgeville.com,visit-rc-onboarding,2012-08-11T12:04:40Z
jack@citidemo.badgeville.com,visit-citinet-home,2013-10-14T04:33:05Z
