player_email,verb,created_at,asset_type,asset_title
roselyn@bvskillportdemo.com,read-book,2015-09-06T23:33:58Z,books,Planning for Performance
obi@bvskillportdemo.com,accessed-course,2014-10-24T05:34:39Z,books,Reviewing and Rewarding Performance
jessica@bvskillportdemo.com,read-book,2014-03-23T10:44:20Z,books,Compliance and Social Media
lucas@bvskillportdemo.com,took-pretest,2015-10-19T06:48:31Z,books,Planning for Performance
roselyn@bvskillportdemo.com,beat-pretest,2014-05-04T01:09:03Z,resources,Facilitating Collaborative Processes
lucas@bvskillportdemo.com,took-pretest,2015-11-12T10:27:31Z,courses,Managing IPv4 and IPv6 Addressing
obi@bvskillportdemo.com,added-manager,2015-09-20T22:22:35Z,courses,Facilitating Collaborative Processes
obi@bvskillportdemo.com,accessed-video,2013-04-17T01:25:22Z,courses,Global Safety Principles
roselyn@bvskillportdemo.com,added-location,2014-01-11T20:29:23Z,resources,Reviewing and Rewarding Performance
julianne@bvskillportdemo.com,restart-course,2014-07-26T04:31:28Z,courses,Compliance and Social Media
amy@bvskillportdemo.com,accessed-course,2013-07-23T14:56:09Z,videos,Facilitating Collaborative Processes
jack@bvskillportdemo.com,completed-course,2014-03-04T17:53:38Z,videos,Reviewing and Rewarding Performance
amy@bvskillportdemo.com,accessed-book,2013-12-25T23:36:20Z,resources,Managing IPv4 and IPv6 Addressing
obi@bvskillportdemo.com,accessed-course,2015-06-07T05:35:20Z,books,Reviewing and Rewarding Performance
roselyn@bvskillportdemo.com,registered,2015-04-03T06:12:40Z,videos,Global Safety Principles
lucas@bvskillportdemo.com,accessed-book,2013-03-19T22:36:57Z,resources,Managing IPv4 and IPv6 Addressing
jessica@bvskillportdemo.com,read-book,2015-03-05T17:58:38Z,courses,Planning for Performance
julianne@bvskillportdemo.com,added-location,2015-07-11T01:59:32Z,books,Planning for Performance
lucas@bvskillportdemo.com,registered,2013-11-26T21:42:10Z,books,Reviewing and Rewarding Performance
julianne@bvskillportdemo.com,beat-pretest,2013-07-13T19:19:01Z,videos,Managing IPv4 and IPv6 Addressing
julianne@bvskillportdemo.com,shared-course,2013-02-14T19:32:56Z,books,Scala Introduction
roselyn@bvskillportdemo.com,registered,2015-10-13T22:42:58Z,resources,Global Safety Principles
jessica@bvskillportdemo.com,accessed-video,2014-05-20T04:15:10Z,books,Scala Introduction
jessica@bvskillportdemo.com,restarted-test,2015-07-14T22:23:22Z,books,Planning for Performance
julianne@bvskillportdemo.com,added-note-course,2015-09-17T16:11:22Z,courses,Compliance and Social Media
roselyn@bvskillportdemo.com,restarted-test,2014-07-04T23:26:04Z,videos,Web Design Enhancements
jack@bvskillportdemo.com,read-book,2015-10-03T01:29:08Z,courses,Web Design Enhancements
obi@bvskillportdemo.com,added-location,2013-12-03T21:08:26Z,courses,Global Safety Principles
obi@bvskillportdemo.com,took-pretest,2013-04-02T03:23:44Z,books,Global Safety Principles
amy@bvskillportdemo.com,added-manager,2013-07-25T01:42:18Z,videos,Reviewing and Rewarding Performance
jack@bvskillportdemo.com,added-note-course,2014-12-10T20:07:14Z,courses,Planning for Performance
obi@bvskillportdemo.com,completed-course,2013-05-27T11:24:34Z,resources,Reviewing and Rewarding Performance
jessica@bvskillportdemo.com,added-note-course,2013-07-24T02:34:05Z,books,Scala Introduction
jessica@bvskillportdemo.com,added-manager,2015-12-04T15:36:54Z,videos,Facilitating Collaborative Processes
jack@bvskillportdemo.com,shared-course,2015-08-27T23:59:22Z,videos,Planning for Performance
roselyn@bvskillportdemo.com,shared-course,2014-08-20T21:32:11Z,books,Managing IPv4 and IPv6 Addressing
lucas@bvskillportdemo.com,logged-in,2013-07-10T01:26:57Z,books,Facilitating Collaborative Processes
jessica@bvskillportdemo.com,added-note-course,2014-10-05T09:52:46Z,videos,Web Design Enhancements
