player_email,verb,created_at,asset_type,asset_title
obi@bvskillportdemo.com,accessed-course,2012-04-06T12:28:28Z,books,Compliance and Social Media
lucas@bvskillportdemo.com,downloaded-book,2013-12-05T21:49:31Z,resources,Planning for Performance
roselyn@bvskillportdemo.com,started-course,2012-05-08T13:04:57Z,courses,Facilitating Collaborative Processes
lucas@bvskillportdemo.com,accessed-video,2014-03-13T08:53:14Z,resources,Scala Introduction
julianne@bvskillportdemo.com,accessed-video,2013-12-02T15:04:25Z,resources,Compliance and Social Media
jack@bvskillportdemo.com,added-manager,2012-04-11T11:32:38Z,courses,Managing IPv4 and IPv6 Addressing
obi@bvskillportdemo.com,logged-in,2012-03-06T15:49:09Z,resources,Global Safety Principles
obi@bvskillportdemo.com,read-book,2014-09-28T11:06:13Z,courses,Scala Introduction
amy@bvskillportdemo.com,took-pretest,2012-05-06T07:14:24Z,courses,Reviewing and Rewarding Performance
lucas@bvskillportdemo.com,read-book,2013-12-07T23:17:25Z,resources,Compliance and Social Media
julianne@bvskillportdemo.com,downloaded-book,2012-03-12T10:55:15Z,videos,Global Safety Principles
lucas@bvskillportdemo.com,beat-pretest,2013-02-14T14:58:42Z,resources,Global Safety Principles
jack@bvskillportdemo.com,accessed-book,2013-12-18T18:12:43Z,courses,Managing IPv4 and IPv6 Addressing
jack@bvskillportdemo.com,added-manager,2013-06-25T14:27:35Z,courses,Planning for Performance
obi@bvskillportdemo.com,completed-course,2014-05-03T19:08:42Z,resources,Global Safety Principles
lucas@bvskillportdemo.com,restarted-test,2013-10-15T16:09:50Z,courses,Reviewing and Rewarding Performance
amy@bvskillportdemo.com,added-location,2014-05-18T15:45:49Z,books,Planning for Performance
julianne@bvskillportdemo.com,completed-course,2014-10-24T20:31:34Z,books,Reviewing and Rewarding Performance
lucas@bvskillportdemo.com,beat-pretest,2012-12-24T13:42:25Z,videos,Global Safety Principles
jack@bvskillportdemo.com,restarted-test,2014-12-04T14:36:11Z,videos,Managing IPv4 and IPv6 Addressing
amy@bvskillportdemo.com,completed-course,2014-11-10T13:25:21Z,courses,Compliance and Social Media
julianne@bvskillportdemo.com,accessed-book,2012-07-19T10:40:04Z,resources,Planning for Performance
lucas@bvskillportdemo.com,completed-course,2012-08-27T05:35:53Z,resources,Managing IPv4 and IPv6 Addressing
lucas@bvskillportdemo.com,accessed-resource,2014-01-25T09:10:11Z,courses,Global Safety Principles
roselyn@bvskillportdemo.com,accessed-video,2013-11-23T11:12:02Z,books,Web Design Enhancements
obi@bvskillportdemo.com,restart-course,2014-02-02T06:14:06Z,videos,Reviewing and Rewarding Performance
lucas@bvskillportdemo.com,added-note-course,2014-09-21T04:53:11Z,courses,Global Safety Principles
obi@bvskillportdemo.com,completed-course,2012-06-16T06:46:12Z,resources,Web Design Enhancements
julianne@bvskillportdemo.com,read-book,2012-03-12T20:02:06Z,books,Reviewing and Rewarding Performance
julianne@bvskillportdemo.com,took-pretest,2012-10-22T11:36:06Z,books,Facilitating Collaborative Processes
jack@bvskillportdemo.com,restart-course,2014-05-13T07:52:43Z,videos,Global Safety Principles
amy@bvskillportdemo.com,accessed-video,2013-05-08T21:03:26Z,courses,Reviewing and Rewarding Performance
amy@bvskillportdemo.com,beat-pretest,2014-05-23T09:29:38Z,courses,Facilitating Collaborative Processes
lucas@bvskillportdemo.com,restarted-test,2012-01-20T18:15:17Z,videos,Managing IPv4 and IPv6 Addressing
jessica@bvskillportdemo.com,started-course,2012-12-01T22:58:26Z,resources,Compliance and Social Media
jack@bvskillportdemo.com,read-book,2012-11-01T18:12:44Z,resources,Facilitating Collaborative Processes
obi@bvskillportdemo.com,beat-pretest,2013-05-08T13:15:40Z,books,Planning for Performance
julianne@bvskillportdemo.com,restarted-test,2012-08-27T08:04:34Z,videos,Global Safety Principles
