player_email,verb,created_at,asset_type,asset_title,bv_errors
jack@bvskillportdemo.com,completed-course,2013-04-16T02:24:04Z,videos,Facilitating Collaborative Processes,"[""Limit exceeded""]"
julianne@bvskillportdemo.com,added-company,2012-04-01T22:41:19Z,courses,Scala Introduction,"[""Limit exceeded""]"
jessica@bvskillportdemo.com,added-company,2012-02-28T01:21:48Z,courses,Facilitating Collaborative Processes,"[""Limit exceeded""]"
lucas@bvskillportdemo.com,registered,2012-07-01T08:01:30Z,videos,Planning for Performance,"[""Limit exceeded""]"
obi@bvskillportdemo.com,registered,2014-01-16T20:24:14Z,videos,Compliance and Social Media,"[""Limit exceeded""]"
roselyn@bvskillportdemo.com,registered,2013-08-26T14:57:14Z,resources,Global Safety Principles,"[""Limit exceeded""]"
jack@bvskillportdemo.com,registered,2013-02-22T22:05:46Z,resources,Reviewing and Rewarding Performance,"[""Limit exceeded""]"
roselyn@bvskillportdemo.com,started-course,2014-08-01T21:59:31Z,resources,Web Design Enhancements,"[""Limit exceeded""]"
julianne@bvskillportdemo.com,added-location,2014-11-12T08:14:47Z,courses,Compliance and Social Media,"[""Limit exceeded""]"
roselyn@bvskillportdemo.com,added-location,2014-08-01T09:51:42Z,resources,Compliance and Social Media,"[""Limit exceeded""]"
amy@bvskillportdemo.com,added-location,2014-11-18T23:19:54Z,books,Compliance and Social Media,"[""Limit exceeded""]"
julianne@bvskillportdemo.com,added-company,2013-02-12T13:14:32Z,books,Scala Introduction,"[""Limit exceeded""]"
julianne@bvskillportdemo.com,completed-course,2014-11-28T08:15:41Z,courses,Web Design Enhancements,"[""Limit exceeded""]"
roselyn@bvskillportdemo.com,took-pretest,2013-06-25T20:54:04Z,courses,Compliance and Social Media,"[""Limit exceeded""]"
jessica@bvskillportdemo.com,added-company,2014-03-21T02:18:42Z,videos,Managing IPv4 and IPv6 Addressing,"[""Limit exceeded""]"
jack@bvskillportdemo.com,added-location,2014-09-17T16:58:46Z,resources,Facilitating Collaborative Processes,"[""Limit exceeded""]"
roselyn@bvskillportdemo.com,completed-course,2014-01-24T15:03:26Z,courses,Planning for Performance,"[""Limit exceeded""]"
amy@bvskillportdemo.com,added-location,2014-06-19T09:55:03Z,videos,Global Safety Principles,"[""Limit exceeded""]"
jessica@bvskillportdemo.com,added-company,2012-08-25T09:40:18Z,courses,Facilitating Collaborative Processes,"[""Limit exceeded""]"
amy@bvskillportdemo.com,shared-course,2013-02-14T18:24:34Z,books,Scala Introduction,"[""Limit exceeded""]"
lucas@bvskillportdemo.com,added-company,2014-03-23T21:47:47Z,videos,Compliance and Social Media,"[""Limit exceeded""]"
lucas@bvskillportdemo.com,registered,2012-11-09T20:57:42Z,books,Compliance and Social Media,"[""Limit exceeded""]"
jack@bvskillportdemo.com,started-course,2013-05-22T19:25:54Z,courses,Reviewing and Rewarding Performance,"[""Limit exceeded""]"
lucas@bvskillportdemo.com,added-company,2014-01-12T23:34:20Z,books,Compliance and Social Media,"[""Limit exceeded""]"
